id,author,title,editor,year,price,category
1,BADINTER Élisabeth,L’un est l’autre,Jacob,1986,,5
2,TAPIA Claude,Jeunesse 86  Au-delà du sexe,L’Harmattan,1987,,5
3,MENDRAS Henri,Éléments de sociologie,Armand colin,1984,,5
4,BOURDIEU Pierre/PASSERON Jean-Claude,La reproduction,Editions de minuit,1971,,5
5,TORDJMAN Gilbert,Le dialogue sexuel,Pauvert,1976,,5
6,Cahiers semestriels,Épistémologie sociologique,anthropos,1968,,5
7,FRIEDDBERG Erhard,Le pouvoir et la règle,Seuil,1983,,5
8,JEUDY Henri-Pierre,Mémoires du social,PUF,1986,,5
9,TOURAINE Alain,Pour la sociologie,Points,1974,,5
10,BAECHLER Jean,Les phénomènes révolutionnaires,PUF,1970,,5
11,FLANDRIN Jean-Louis,Le sexe et l’occident,Points,1986,,5
12,L’ethnolgie,Encyclopédie LAROUSSE,Larousse poche,1967,,5
13,BAUDRILLARD Jean,La société de consommation ,Folio essais,1986,,5
14,DUMAZEDIER Joffre,Sociologie empirique du loisir,SEUIL,1984,,5
15,FLANDRIN Jean-Louis,Le sexe et l’occident,SEUIL,1981,,5
