id,author,title,editor,year,price,category
1,La psychiatrie de l’enfant,Volume : XIII  Fasc 2,PUF,1970,,2
2,La psychiatrie de l’enfant,Volume : XII  Fasc 1,PUF,1969,,2
3,La psychiatrie de l’enfant,Voluume : XI Fasc 1,PUF,1968,,2
4,La psychiatrie de l’enfant,Voluume : VI Fasc 1,PUF,1963,,2
5,La psychiatrie de l’enfant,Voluume : V Fasc 1,PUF,1962,,2
6,La psychiatrie de l’enfant,Voluume : V Fasc 2,PUF,1962,,2
7,La psychiatrie de l’enfant,Voluume : IV Fasc 1,PUF,1961,,2
8,La psychiatrie de l’enfant,Voluume :III Fasc 2,PUF,1960,,2
9,La psychiatrie de l’enfant,Voluume : II Fasc 1,PUF,1959,,2
10,La psychiatrie de l’enfant,Voluume : II Fasc 2,PUF,1959,,2
11,La psychiatrie de l’enfant,Voluume : I Fasc 1,PUF,1958,,2
12,La psychiatrie de l’enfant,Voluume : I Fasc 2,PUF,1958,,2
13,La psychiatrie de l’enfant,Voluume : IX Fasc 2,PUF,1966,,2
14,La psychiatrie de l’enfant,Voluume : X Fasc 2,PUF,1967,,2
15,Confrontations psychiatriques,Démence N° 33,Théraplix,1991,,2
16,Confrontations psychiatriques,Créativité et psychiatrie,Théraplix,1992,,2
17,Confrontations psychiatriques,Les modèles expérimentaux et la clinique psychiatrique,Théraplix,1989,,2
