id,author,title,editor,year,price,category
1,Revue Française de Psychanalyse,« Bloc magique »,PUF,1981 n°5,,1
2,Revue Française de Psychanalyse,À la recherche de l’objet perdu,PUF,1989 n°1,,1
3,Revue Française de Psychanalyse,"A soi-même étranger (déni, désaveu)",PUF,1986 n°4,,1
4,Revue Française de Psychanalyse,Animal,PUF,2011 n°1,,1
5,Études freudiennes,Au-delà du temps des séances  2,EVEL ,1984 N° 24,,1
6,Études freudiennes,Au-delà du temps des séances 1,EVEL ,1984 n°23,,1
7,Revue Française de Psychanalyse,Bion,PUF,1989 n°5,,1
8,Cahiers jungiens de psychanalyse,Cinéma : une approche jungienne,Incestes,1995 n°83,,1
9,L inconscient,Clinique et métapsychologie,PUF,n°6,,1
10,Revue Française de Psychanalyse,Colloque de Deauville – Les problèmes du corps,PUF,1981 n°2,,1
11,Psychanalystes,"Colloque transmission, psychanalyse généalogie I",Collège de psychanalystes,1987 n°25,,1
12,Psychanalystes,"Colloque transmission, psychanalyse généalogie II",Collège de psychanalystes,1988 n°26,,1
13,Revue Française de Psychanalyse,"Compulsion du vide, compulsion de création",PUF,1994 n°2,,1
14,Revue Française de Psychanalyse,Conflit œdipien et développement des fonctions psychiques – Genèse et changement – numéro spécial,PUF,1981,,1
15,Études freudiennes,Confluences,Denoël,1975 n°9-10,,1
16,Lettres de l’école freudienne,Congrès de la Grande Motte 1973,Bulletin école freudienne,1975 n°15,,1
17,Lettres de l’école freudienne,Congrès de Strasbourg 1969 – 1ère partie,Bulletin école freudienne,1969,,1
18,Revue Française de Psychanalyse,De la névrose d’angoisse à l’hystérie,PUF,1985 n°1,,1
19,Revue Française de Psychanalyse,Des biographies,PUF,1988 n°1 ,,1
20,Nouvelle revue de Psychanalyse,Dire,Gallimard,1981 n°23,,1
21,Actes de l’école de la cause freudienne,Dix-sept exposés sur les moments cruciaux dans la cure psychanalytique,CF,1983,,1
22,Études freudiennes,Du coté du psychanalyste,Denoël,1969 N° 1/2,,1
23,Topiques – Revue freudienne,Du mouvement freudien,EPI,n°14,,1
24,Revue Française de Psychanalyse,Du rêve,PUF,1976 n°1,,1
25,Études freudiennes,"Écritures – James Joyce, Sigmund Freud, Paul Claudel, Marcel Proust",Denoël,1973 n°7-8,,1
26,Études freudiennes,Écueils,Denoël,1976 n°11-12,,1
27,Revue Française de Psychanalyse,Encore l’hystérie – Colloque de Deauville,PUF,1986 n°3,,1
28,Topiques – Revue freudienne,Entre théorie et technique,PUF,n°3,,1
29,Revue Française de Psychanalyse,Et les fantasmes originaires ?,PUF,1991 n°5,,1
30,L inconscient,Études critiques,PUF,n°4,,1
31,Études freudiennes,"Figures de Freud, Lettres inédites à Fliess.",Denoël,1979 N° 15/16,,1
32,Revue Française de Psychanalyse,Filiations féminines,PUF,1994 n°1,,1
33,Revue Française de Psychanalyse,Impuissance et frigidité,,2012 n°1,,1
34,Revue Française de Psychanalyse,Irreprésentable ou irreprésenté ?,PUF,1992 n°1,,1
35,Revue Française de Psychanalyse,Jalousies,PUF,1997 n°1,,1
36,Revue Française de Psychanalyse,L e statut de la représentation dan la théorie psychanalytique en 1984 Colloque de Deauville,PUF,1985 n°3,,1
37,Études freudiennes,"L’acte de conscience, le devenir conscient.",Ed Etudes freudiennes,1987 N° 29,,1
38,Revue Française de Psychanalyse,L’amour,PUF,1996 n°3,,1
39,Revue Française de Psychanalyse,L’après-coup,PUF,1982 n°3,,1
40,Analytica,L’enfant analysant,Navarin Seuil,1985 n°42,,1
41,Revue Française de Psychanalyse,L’enfant dans l’adulte,PUF,1994 n°3,,1
42,Revue Française de Psychanalyse,L’enjeu du surmoi dans la cure,PUF,2010 n°3,,1
43,Revue Française de Psychanalyse,L’épreuve du changement,PUF,1996 n°4,,1
44,Cahiers jungiens de psychanalyse,L’étranger,Incestes,1998 n°92,,1
45,Nouvelle revue de Psychanalyse,L’excès,Gallimard,1991 n°43,,1
46,Revue Française de Psychanalyse,L’homosexualité inconsciente dans la cure – Colloque de Deauville,PUF,1984 n°3,,1
47,Revue Française de Psychanalyse,L’idéal du moi       XXXIII°  congrès des psychanalystes de langues romanes,PUF,1973 n°5-6,,1
48,Thérapies de l’âme,L’inflation du psychologisme,Autrement,1982,,1
49,Revue Française de Psychanalyse,L’inquiétante étrangeté,PUF,1981 n°3,,1
50,Revue Française de Psychanalyse,L’intemporel,PUF,1995 n°4,,1
51,Revue Française de Psychanalyse,L’interprétation,PUF,1993 n°1,,1
53,Revue Française de Psychanalyse,L’objet,PUF,1982 n°6 ,,1
54,Revue Française de Psychanalyse,L’objet en personne,PUF,1997 n°2,,1
55,Topiques – Revue freudienne,L’objet perdu,PUF,n°7-8,,1
56,Revue Française de Psychanalyse,La « normalité »,PUF,1972 n°3,,1
57,Études freudiennes,La conduite de la cure,Ed Etudes freudiennes,1987 N° 30,,1
